"INCIDENT_ID","FIRST_OCCURENCE_DATE","LAST_OCCURENCE_DATE","REPORT_DATE","INCIDENT_ADDRESS","GEO_X","GEO_Y","DISTRICT_ID","PRECINCT_ID","OFFENSE_CODE","OFENSE_TYPE_ID","OFENSE_CATEGORY_ID","MJ_RELATION_TYPE","SIZE_QTY_LBS","SIZE_QTY_GRAMS","RECORD_CREATED_DATETIME","RECORD_UPDATED_DATETIME"
"201629060","1/14/2016 12:00:00 AM","1/14/2016 12:00:00 AM","1/14/2016 12:00:00 AM","4809 N CLAYTON ST                                 ","3153333.00","1710941.00","2","212","2202    ","BURGLARY - RESIDENCE BY FORCE","Burglary","NON-INDUSTRY","","","",""
"2016290985","5/10/2016 12:00:00 AM","5/10/2016 12:00:00 AM","5/10/2016 12:00:00 AM","1350 S SHERIDAN BLVD                              ","3125828.00","1677225.00","4","421","2205    ","BURGLARY - BUSINESS NO FORCE","Burglary","INDUSTRY","","","",""
"2016293806","5/11/2016 12:00:00 AM","5/11/2016 12:00:00 AM","5/11/2016 12:00:00 AM","11100 E 51ST AVE                                  ","3180335.00","1713149.00","5","511","2305    ","THEFT - ITEMS FROM VEHICLE","Theft from Motor Vehicle","NON-INDUSTRY","","","",""
"2016294990","5/11/2016 12:00:00 AM","5/11/2016 12:00:00 AM","5/11/2016 12:00:00 AM","1550 N BROADWAY ST                                ","3144340.00","1695281.00","6","621","1315","AGGRAVATED ASSAULT","Agg ASLT-Other","NON-INDUSTRY","","","",""
"2016299349","5/12/2016 12:00:00 AM","1/1/1900 12:00:00 AM","5/13/2016 12:00:00 AM","5077 N COLORADO BLVD                              ","3156774.00","1712483.00","2","212","2308    ","THEFT - FROM BLDG","Larceny","INDUSTRY","","","",""
"2016300518","5/14/2016 12:00:00 AM","5/14/2016 12:00:00 AM","5/14/2016 12:00:00 AM","3835 N ELM ST                                     ","3160273.00","1705814.00","2","221","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016306929","5/17/2016 12:00:00 AM","5/17/2016 12:00:00 AM","5/17/2016 12:00:00 AM","985 S LOGAN ST                                    ","3145350.00","1679861.00","3","312","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016309089","5/17/2016 12:00:00 AM","5/18/2016 12:00:00 AM","5/18/2016 12:00:00 AM","4105 N JASON ST                                   ","3140597.00","1706917.00","1","112","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016312860","5/19/2016 12:00:00 AM","5/19/2016 12:00:00 AM","5/19/2016 12:00:00 AM","1810 S BROADWAY ST                                ","3144328.00","1674322.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016313199","5/19/2016 12:00:00 AM","5/19/2016 12:00:00 AM","5/19/2016 12:00:00 AM","22O S JULIAN ST                                   ","3131895.00","1686074.00","4","411","2399    ","THEFT - OTHER","Larceny","NON-INDUSTRY","","","",""
"2016315074","5/20/2016 12:00:00 AM","5/20/2016 12:00:00 AM","5/20/2016 12:00:00 AM","3460 W 32ND AVE                                   ","3131090.00","1702734.00","1","113","5707    ","CRIMINAL TRESPASSING","All Other Crimes","INDUSTRY","","","",""
"2016317585","5/21/2016 12:00:00 AM","5/21/2016 12:00:00 AM","5/21/2016 12:00:00 AM","3888 E MEXICO AVE                                 ","3157004.00","1674967.00","3","312","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016318008","5/21/2016 12:00:00 AM","5/21/2016 12:00:00 AM","5/21/2016 12:00:00 AM","4707 N LIPAN ST                                   ","3139981.00","1710191.00","1","112","2303    ","THEFT - SHOPLIFT","Larceny","INDUSTRY","","","",""
"201632070","1/16/2016 12:00:00 AM","1/16/2016 12:00:00 AM","1/16/2016 12:00:00 AM","777 N CANOSA CT                                   ","3134946.00","1690779.00","1","122","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016323097","5/24/2016 12:00:00 AM","5/24/2016 12:00:00 AM","5/24/2016 12:00:00 AM","4400 N GRAPE ST                                   ","3161828.00","1708842.00","2","221","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016323167","5/24/2016 12:00:00 AM","5/24/2016 12:00:00 AM","5/24/2016 12:00:00 AM","4095 N JACKSON ST                                 ","3156492.00","1707155.00","2","212","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016324107","5/24/2016 12:00:00 AM","5/24/2016 12:00:00 AM","5/24/2016 12:00:00 AM","1355 S INCA ST                                    ","3141186.00","1677383.00","4","422","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016324309","5/24/2016 12:00:00 AM","1/1/1900 12:00:00 AM","5/24/2016 12:00:00 AM","12525 E ALBROOK DR                                ","3184585.00","1710532.00","5","521","1205    ","ROBBERY - STREET","Robbery-Street-Res","NON-INDUSTRY","","","",""
"2016329475","5/26/2016 12:00:00 AM","1/1/1900 12:00:00 AM","5/26/2016 12:00:00 AM","1055 19TH ST                                      ","3143054.00","1698655.00","6","611","1315","AGGRAVATED ASSAULT","Agg ASLT-Other","NON-INDUSTRY","","","",""
"2016334634","5/28/2016 12:00:00 AM","1/1/1900 12:00:00 AM","5/28/2016 12:00:00 AM","7741 E COLFAX AVE                                 ","3169310.00","1695133.00","2","223","2999    ","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","","","",""
"2016338379","5/30/2016 12:00:00 AM","1/1/1900 12:00:00 AM","5/30/2016 12:00:00 AM","1355 S INCA ST                                    ","3141186.00","1677383.00","4","422","2999    ","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","","","",""
"2016338452","5/30/2016 12:00:00 AM","1/1/1900 12:00:00 AM","5/30/2016 12:00:00 AM","W 29TH AVE / N HURON ST                           ","3141377.00","1701533.00","6","612","1315","AGGRAVATED ASSAULT","Agg ASLT-Firearm","NON-INDUSTRY","","","",""
"2016339466","5/31/2016 12:00:00 AM","5/31/2016 12:00:00 AM","5/31/2016 12:00:00 AM","6853 LEETSDALE DR                                 ","3166373.00","1680902.00","3","322","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016339678","5/31/2016 12:00:00 AM","1/1/1900 12:00:00 AM","5/31/2016 12:00:00 AM","1173 S BANNOCK ST                                 ","3143383.00","1678545.00","3","313","2999    ","CRIMINAL MISCHIEF - OTHER","Criminal Mischief-Property","INDUSTRY","","","",""
"2016343628","6/2/2016 12:00:00 AM","6/2/2016 12:00:00 AM","6/2/2016 12:00:00 AM","2001 S BROADWAY ST                                ","3144120.00","1673026.00","3","313","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016344235","6/1/2016 12:00:00 AM","6/2/2016 12:00:00 AM","6/2/2016 12:00:00 AM","734 N SHERIDAN BLVD                               ","3125934.00","1690577.00","1","122","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016344743","6/2/2016 12:00:00 AM","1/1/1900 12:00:00 AM","6/2/2016 12:00:00 AM","3955 N ONEIDA ST                                  ","3166432.00","1706593.00","2","221","2303    ","THEFT - SHOPLIFT","Larceny","INDUSTRY","","","",""
"2016345327","6/2/2016 12:00:00 AM","6/2/2016 12:00:00 AM","6/2/2016 12:00:00 AM","4359 N CLAUDE CT                                  ","3151618.00","1708543.00","2","212","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016345930","6/3/2016 12:00:00 AM","6/3/2016 12:00:00 AM","6/3/2016 12:00:00 AM","1941 W EVANS AVE                                  ","3137806.00","1672571.00","4","422","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016345998","6/3/2016 12:00:00 AM","6/3/2016 12:00:00 AM","6/3/2016 12:00:00 AM","4095 N JACKSON ST                                 ","3156492.00","1707155.00","2","212","2203    ","BURGLARY - BUSINESS BY FORCE","Burglary","INDUSTRY","","","",""
"2016346720","6/3/2016 12:00:00 AM","1/1/1900 12:00:00 AM","6/3/2016 12:00:00 AM","6359 E EVANS AVE                                  ","3164786.00","1672602.00","3","322","3560    ","DRUG - MARIJUANA SELL","Drug Offenses","INDUSTRY","","","",""
"2016352458","6/5/2016 12:00:00 AM","1/1/1900 12:00:00 AM","6/5/2016 12:00:00 AM","1500 N HOOKER ST                                  ","3132700.00","1695052.00","1","121","1315","AGGRAVATED ASSAULT","Agg ASLT-Other","NON-INDUSTRY","","","",""
